Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type
13.04,0,0.028,1,126.64,1999,1,0,0
13.05,2,0.014,5,169.41,1987,0,1,2
14.77,1,0.041,11,130.2,1999,1,0,0
14.32,2,0.03,5,194.4,1987,0,1,2
11.54,2,0.071,14,107.03,1987,0,1,2
16.12,1,0.12,8,175.82,1987,0,1,2
15.27,2,0.082,14,144.22,2009,1,1,3
11.77,2,0.068,3,140.05,2009,1,1,3
10.85,2,0.066,0,143.92,2009,1,1,3
11.01,0,0.147,6,92.24,1998,2,2,1
10.55,2,0.08,13,94.69,1998,2,2,1
8.49,0,0.083,13,133.15,1998,2,2,1
9.75,0,0.009,13,116.15,1998,2,2,1
14.54,0,0.128,4,175.77,1999,1,0,0
15.98,0,0.106,13,169.63,1987,0,1,2
12.4,2,0.086,6,187.48,1999,1,0,0
9.77,0,0.055,3,139.51,2009,1,1,3
11.14,2,0.016,3,109.91,1987,0,1,2
13.81,1,0.013,8,170.97,1999,1,0,0
17.24,0,0.034,4,205.11,1999,1,0,0
11.48,0,0.097,3,148.56,2009,1,1,3
13.08,1,0.052,8,202.0,1999,1,0,0
8.34,2,0.024,3,125.95,1998,2,2,1
12.51,0,0.043,4,102.78,2009,1,1,3
14.74,2,0.083,14,167.42,1999,1,0,0
14.14,1,0.064,9,119.88,2009,1,1,3
13.21,0,0.067,13,157.8,2009,1,1,3
13.77,0,0.107,2,130.94,2009,1,1,3
12.82,2,0.184,0,133.98,2009,1,1,3
12.02,0,0.163,6,123.66,2009,1,1,3
14.08,0,0.047,4,133.08,2009,1,1,3
11.72,0,0.054,13,143.43,2009,1,1,3
13.68,0,0.041,7,196.53,1987,0,1,2
13.28,0,0.084,10,148.86,2009,1,1,3
9.64,1,0.03,9,141.23,2009,1,1,3
12.1,0,0.12,0,126.21,2009,1,1,3
10.33,0,0.047,13,133.86,2009,1,1,3
7.13,0,0.074,5,83.24,1998,2,2,1
12.48,2,0.214,4,105.0,2009,1,1,3
12.24,0,0.136,6,147.39,2009,1,1,3
12.54,0,0.023,6,178.97,1987,0,1,2
8.87,0,0.088,0,113.03,1998,2,2,1
12.18,0,0.097,1,137.39,2009,1,1,3
12.17,0,0.059,10,177.83,2009,1,1,3
11.92,0,0.028,13,176.11,2009,1,1,3
10.92,2,0.031,4,110.63,1987,0,1,2
13.34,0,0.093,10,124.78,1999,1,0,0
11.31,0,0.152,3,146.11,2009,1,1,3
10.66,0,0.174,15,141.0,2009,1,1,3
12.88,2,0.026,0,89.6,1987,0,1,2
11.01,2,0.117,5,114.6,1987,0,1,2
11.59,2,0.015,5,136.89,2009,1,1,3
14.02,0,0.129,3,112.36,2009,1,1,3
15.23,0,0.047,14,158.9,1999,1,0,0
15.03,0,0.066,4,117.04,2009,1,1,3
12.47,0,0.035,14,147.92,2009,1,1,3
9.37,0,0.049,14,94.63,1998,2,2,1
15.12,2,0.058,5,133.4,2009,1,1,3
12.88,0,0.044,13,98.09,2009,1,1,3
15.52,0,0.053,3,173.65,1987,0,1,2
11.47,2,0.047,4,130.27,2009,1,1,3
11.1,0,0.053,1,122.31,2009,1,1,3
14.08,1,0.047,9,173.2,1999,1,0,0
17.42,0,0.027,0,143.85,1998,2,2,1
15.14,2,0.031,5,166.7,1999,1,0,0
14.14,2,0.02,4,147.81,2009,1,1,3
13.59,0,0.069,4,150.54,2009,1,1,3
11.52,1,0.066,11,109.74,1987,0,1,2
13.7,1,0.116,9,131.24,2009,1,1,3
9.2,2,0.15,3,84.37,1998,2,2,1
16.4,1,0.227,8,158.93,1987,0,1,2
14.76,0,0.033,5,145.42,2009,1,1,3
14.35,1,0.053,9,173.04,1999,1,0,0
13.36,2,0.104,0,109.88,2009,1,1,3
8.32,0,0.084,13,116.5,1998,2,2,1
12.23,0,0.054,6,152.83,2009,1,1,3
12.21,0,0.205,15,142.68,2009,1,1,3
7.02,2,0.029,0,50.42,1998,2,2,1
13.46,1,0.08,9,148.75,2009,1,1,3
11.48,0,0.107,10,112.69,1987,0,1,2
13.07,0,0.045,14,161.18,2009,1,1,3
9.37,0,0.068,13,104.81,1998,2,2,1
10.46,0,0.137,0,117.84,1987,0,1,2
10.72,2,0.119,3,127.9,2009,1,1,3
14.42,0,0.067,0,181.17,1987,0,1,2
14.93,0,0.083,14,189.03,1987,0,1,2
13.33,2,0.082,4,135.39,2009,1,1,3
14.28,1,0.169,8,160.97,1987,0,1,2
13.54,0,0.1,13,154.55,2009,1,1,3
14.82,2,0.03,0,190.42,1987,0,1,2
10.02,2,0.132,13,120.83,1987,0,1,2
12.78,0,0.169,13,152.33,2009,1,1,3
12.66,2,0.066,6,117.41,2009,1,1,3
13.04,0,0.058,13,91.53,1987,0,1,2
10.54,3,0.067,3,172.61,2009,1,1,3
14.91,0,0.1,10,166.86,1999,1,0,0
11.43,2,0.065,0,99.29,1998,2,2,1
8.81,0,0.157,13,167.03,2009,1,1,3
14.61,0,0.093,15,147.49,2009,1,1,3
12.75,2,0.007,13,146.47,2009,1,1,3
11.2,2,0.069,13,124.4,2009,1,1,3
7.94,0,0.012,7,131.06,1998,2,2,1
14.72,2,0.033,13,183.18,1987,0,1,2
14.91,2,0.037,13,182.95,1987,0,1,2
16.9,0,0.122,10,243.98,1999,1,0,0
12.77,1,0.083,8,175.12,1987,0,1,2
12.16,1,0.039,9,124.07,2009,1,1,3
10.37,0,0.024,6,126.19,2009,1,1,3
14.34,2,0.021,0,168.19,1999,1,0,0
13.28,1,0.073,9,154.5,2009,1,1,3
16.1,0,0.027,10,156.81,1999,1,0,0
16.66,2,0.04,10,203.88,1999,1,0,0
15.99,0,0.038,13,164.5,1987,0,1,2
14.27,0,0.01,13,184.71,1987,0,1,2
7.8,0,0.036,4,131.56,1998,2,2,1
18.29,0,0.142,10,146.15,1999,1,0,0
10.76,2,0.017,3,174.58,2009,1,1,3
11.25,2,0.046,0,191.85,1987,0,1,2
14.82,0,0.027,0,119.5,2009,1,1,3
10.9,0,0.029,4,131.3,2009,1,1,3
16.31,0,0.076,6,192.76,1999,1,0,0
16.73,0,0.066,4,166.21,1987,0,1,2
13.26,0,0.037,4,147.89,2009,1,1,3
11.25,0,0.009,13,142.24,2009,1,1,3
10.33,2,0.032,13,159.28,2009,1,1,3
11.0,1,0.041,8,124.52,2009,1,1,3
11.63,3,0.045,5,139.5,2009,1,1,3
11.79,0,0.144,6,145.5,2009,1,1,3
14.62,2,0.086,7,153.14,1987,0,1,2
11.45,2,0.052,0,154.54,2009,1,1,3
13.83,1,0.1,8,134.77,2009,1,1,3
13.13,2,0.03,5,165.99,2009,1,1,3
12.74,1,0.085,11,145.01,2009,1,1,3
10.32,0,0.024,10,117.27,1987,0,1,2
9.16,2,0.018,13,95.11,1998,2,2,1
16.64,2,0.015,10,172.08,1999,1,0,0
11.68,1,0.097,8,129.87,1998,2,2,1
15.7,0,0.154,5,180.84,1987,0,1,2
12.89,0,0.059,7,148.99,2009,1,1,3
12.13,2,0.073,4,136.15,2009,1,1,3
11.66,0,0.055,6,147.97,2009,1,1,3
15.62,0,0.102,13,200.97,1999,1,0,0
10.48,0,0.169,0,94.81,1998,2,2,1
15.56,2,0.03,6,137.87,2009,1,1,3
12.66,2,0.115,13,132.52,2009,1,1,3
15.19,0,0.023,3,199.94,1999,1,0,0
15.47,2,0.07,4,196.0,1987,0,1,2
14.53,2,0.14,13,154.61,1987,0,1,2
9.14,0,0.098,6,117.87,1998,2,2,1
12.29,0,0.047,2,123.19,2009,1,1,3
10.94,0,0.051,5,133.62,2009,1,1,3
14.93,0,0.085,13,174.03,1987,0,1,2
13.41,0,0.128,3,178.88,1999,1,0,0
10.31,0,0.133,10,114.65,1998,2,2,1
11.53,2,0.083,5,158.53,2009,1,1,3
15.62,0,0.038,15,125.82,2009,1,1,3
12.48,0,0.066,13,109.64,2009,1,1,3
14.24,2,0.108,14,161.97,1987,0,1,2
8.96,2,0.023,7,113.57,1998,2,2,1
11.69,0,0.011,3,135.43,2009,1,1,3
10.63,0,0.282,13,96.15,1998,2,2,1
13.37,1,0.161,8,163.02,2009,1,1,3
10.04,0,0.162,6,118.72,1998,2,2,1
10.62,0,0.036,13,195.34,2009,1,1,3
13.1,0,0.035,10,119.36,2009,1,1,3
12.54,1,0.1,8,217.78,1987,0,1,2
10.97,0,0.045,5,117.36,1987,0,1,2
10.0,2,0.006,0,160.82,2009,1,1,3
13.61,3,0.082,6,160.36,2009,1,1,3
12.58,0,0.057,6,119.09,2009,1,1,3
14.33,1,0.061,8,138.52,2009,1,1,3
13.26,1,0.01,8,180.65,1999,1,0,0
11.96,2,0.061,14,148.12,2009,1,1,3
16.96,0,0.057,3,180.06,1999,1,0,0
9.83,0,0.131,4,92.19,1998,2,2,1
9.23,1,0.091,8,145.85,2009,1,1,3
9.79,1,0.043,9,99.46,1998,2,2,1
12.37,2,0.049,0,94.72,1987,0,1,2
12.15,1,0.007,9,169.98,2009,1,1,3
12.56,0,0.038,13,152.41,2009,1,1,3
11.5,0,0.021,0,131.1,2009,1,1,3
16.3,1,0.013,9,170.94,1987,0,1,2
12.76,0,0.032,6,82.59,1998,2,2,1
13.35,1,0.149,9,150.59,2009,1,1,3
16.4,2,0.11,6,171.86,1987,0,1,2
13.73,2,0.137,15,120.67,2009,1,1,3
11.02,0,0.027,6,156.98,2009,1,1,3
13.18,2,0.028,1,156.32,2009,1,1,3
13.98,2,0.077,6,176.77,1999,1,0,0
8.43,1,0.026,8,137.92,1987,0,1,2
13.58,2,0.004,3,182.35,1999,1,0,0
14.34,0,0.064,5,201.82,1987,0,1,2
11.61,0,0.079,0,101.77,1998,2,2,1
12.63,0,0.024,13,110.06,2009,1,1,3
10.54,1,0.02,9,115.72,1987,0,1,2
14.46,0,0.038,7,129.92,2009,1,1,3
15.22,2,0.015,6,158.64,1999,1,0,0
15.09,0,0.011,13,151.69,1987,0,1,2
13.22,1,0.292,9,195.82,1987,0,1,2
14.32,2,0.128,6,149.82,2009,1,1,3
11.26,0,0.08,3,161.09,2009,1,1,3
11.91,2,0.115,6,121.68,2009,1,1,3
10.67,0,0.079,3,124.92,2009,1,1,3
11.93,0,0.048,4,174.57,2009,1,1,3
14.5,2,0.067,3,194.8,1987,0,1,2
16.7,0,0.099,1,131.03,1987,0,1,2
8.18,0,0.073,10,106.54,1998,2,2,1
14.23,2,0.063,10,190.67,1987,0,1,2
13.58,1,0.077,8,182.08,1999,1,0,0
20.35,0,0.022,13,156.56,1999,1,0,0
12.02,0,0.041,13,118.48,2009,1,1,3
12.97,0,0.04,4,165.45,2009,1,1,3
9.93,0,0.041,13,120.85,1987,0,1,2
12.22,2,0.064,0,151.05,2009,1,1,3
13.37,0,0.045,14,127.97,2009,1,1,3
13.07,1,0.036,9,115.87,2009,1,1,3
11.65,2,0.154,3,157.84,2009,1,1,3
14.44,0,0.036,13,134.53,1999,1,0,0
10.72,2,0.083,6,119.55,1987,0,1,2
14.62,2,0.119,7,199.73,1987,0,1,2
14.34,0,0.033,4,148.41,2009,1,1,3
15.68,2,0.104,13,141.98,1987,0,1,2
12.2,0,0.084,6,134.65,2009,1,1,3
9.67,1,0.082,9,104.08,1998,2,2,1
11.38,0,0.026,10,117.21,2009,1,1,3
13.29,1,0.124,8,174.98,1987,0,1,2
7.63,0,0.077,14,128.77,1998,2,2,1
13.3,2,0.009,6,158.76,2009,1,1,3
9.81,0,0.05,5,156.67,2009,1,1,3
15.42,2,0.021,5,187.03,1987,0,1,2
10.97,0,0.057,13,163.96,2009,1,1,3
15.04,3,0.024,1,196.19,1987,0,1,2
10.06,0,0.031,0,77.58,1998,2,2,1
13.67,0,0.055,10,125.03,2009,1,1,3
12.59,2,0.032,13,153.59,2009,1,1,3
10.43,0,0.059,13,73.7,1998,2,2,1
12.26,3,0.085,6,138.07,2009,1,1,3
10.57,2,0.065,14,128.59,2009,1,1,3
10.99,0,0.126,5,148.23,2009,1,1,3
11.59,2,0.035,3,96.26,1998,2,2,1
15.44,0,0.082,5,220.07,1999,1,0,0
11.16,0,0.052,6,151.76,2009,1,1,3
13.48,1,0.142,8,153.36,2009,1,1,3
10.02,3,0.184,6,89.92,1998,2,2,1
11.58,2,0.228,14,152.36,2009,1,1,3
10.21,0,0.096,6,121.78,1987,0,1,2
14.83,0,0.071,5,167.45,1999,1,0,0
8.44,1,0.188,8,102.17,1987,0,1,2
8.4,2,0.036,4,90.7,1998,2,2,1
12.16,1,0.21,9,173.09,2009,1,1,3
17.18,0,0.026,6,217.07,1999,1,0,0
13.84,0,0.061,10,146.78,2009,1,1,3
14.54,0,0.048,13,174.41,1999,1,0,0
11.36,0,0.14,14,152.15,2009,1,1,3
13.68,2,0.055,13,172.37,1999,1,0,0
12.4,0,0.055,4,112.74,2009,1,1,3
11.35,2,0.023,7,95.79,1998,2,2,1
17.24,0,0.069,14,224.3,1999,1,0,0
8.18,0,0.151,14,103.74,1998,2,2,1
9.65,0,0.027,15,94.67,1998,2,2,1
16.54,2,0.013,13,220.37,1999,1,0,0
12.14,0,0.079,10,144.92,2009,1,1,3
11.68,0,0.12,6,129.73,2009,1,1,3
11.49,0,0.081,3,160.35,2009,1,1,3
13.22,3,0.122,0,127.13,2009,1,1,3
8.63,1,0.036,9,129.62,1998,2,2,1
11.33,0,0.03,4,145.97,2009,1,1,3
14.35,0,0.027,0,135.3,2009,1,1,3
10.2,0,0.08,13,145.66,2009,1,1,3
14.04,0,0.032,5,108.88,2009,1,1,3
10.29,0,0.027,13,150.71,2009,1,1,3
16.1,0,0.05,4,172.97,1987,0,1,2
10.99,0,0.022,14,146.14,2009,1,1,3
12.28,0,0.093,13,100.94,1987,0,1,2
10.37,0,0.112,3,146.48,2009,1,1,3
12.92,2,0.027,6,131.58,2009,1,1,3
12.12,1,0.113,8,151.61,2009,1,1,3
14.33,2,0.098,10,194.7,1987,0,1,2
13.54,2,0.103,5,99.24,2009,1,1,3
17.44,1,0.034,9,193.87,1999,1,0,0
15.49,2,0.089,6,156.13,1999,1,0,0
21.04,2,0.04,15,158.86,1999,1,0,0
12.03,1,0.02,8,95.47,1998,2,2,1
13.58,2,0.178,4,117.91,2009,1,1,3
16.19,2,0.067,6,126.46,2009,1,1,3
5.71,0,0.031,4,120.96,1998,2,2,1
13.69,1,0.062,9,155.48,2009,1,1,3
14.44,0,0.031,13,135.2,2009,1,1,3
16.74,0,0.1,13,203.67,1999,1,0,0
10.93,1,0.083,9,105.58,1998,2,2,1
9.01,2,0.089,3,96.1,1998,2,2,1
15.01,0,0.09,0,145.57,2009,1,1,3
12.48,0,0.021,0,143.52,2009,1,1,3
13.85,2,0.033,10,159.07,2009,1,1,3
14.17,0,0.082,5,161.55,1998,2,2,1
11.19,2,0.043,3,130.27,2009,1,1,3
11.12,0,0.119,14,102.57,1998,2,2,1
13.1,2,0.03,5,157.08,2009,1,1,3
10.22,0,0.123,4,130.98,2009,1,1,3
13.45,0,0.029,6,146.12,2009,1,1,3
15.39,0,0.09,1,154.27,1999,1,0,0
13.18,2,0.14,2,144.03,2009,1,1,3
16.33,0,0.089,13,146.79,1999,1,0,0
11.39,0,0.065,6,178.11,2009,1,1,3
14.13,0,0.118,6,223.61,1999,1,0,0
13.17,0,0.076,5,151.4,2009,1,1,3
12.5,1,0.032,9,149.26,2009,1,1,3
10.64,0,0.144,15,150.91,2009,1,1,3
15.54,0,0.027,4,186.52,1987,0,1,2
13.26,2,0.029,14,120.55,2009,1,1,3
15.36,0,0.044,4,221.8,1999,1,0,0
15.95,1,0.036,11,176.83,1987,0,1,2
12.36,2,0.026,14,98.31,1987,0,1,2
5.93,0,0.03,4,109.76,1998,2,2,1
8.92,0,0.173,3,142.67,2009,1,1,3
8.96,1,0.022,8,129.98,1998,2,2,1
12.91,0,0.044,1,131.29,2009,1,1,3
10.73,0,0.014,6,153.79,2009,1,1,3
12.68,1,0.024,8,140.13,2009,1,1,3
11.15,0,0.116,6,140.71,2009,1,1,3
12.99,0,0.061,13,130.04,2009,1,1,3
15.35,2,0.081,14,162.2,1999,1,0,0
10.09,1,0.029,9,88.75,1998,2,2,1
14.28,1,0.084,8,148.82,2009,1,1,3
11.41,1,0.054,9,138.43,2009,1,1,3
12.15,1,0.063,11,155.6,2009,1,1,3
15.56,0,0.036,5,193.44,1999,1,0,0
8.81,0,0.015,10,142.71,1987,0,1,2
13.94,0,0.041,5,98.97,2009,1,1,3
10.7,1,0.128,9,124.23,2009,1,1,3
13.94,2,0.036,0,191.07,1987,0,1,2
11.9,2,0.067,6,118.8,2009,1,1,3
11.42,0,0.072,12,131.2,2009,1,1,3
12.13,0,0.072,14,98.87,1987,0,1,2
10.34,1,0.12,9,126.22,2009,1,1,3
10.3,0,0.037,14,154.46,2009,1,1,3
16.33,0,0.052,5,196.68,1999,1,0,0
15.7,2,0.039,10,188.25,1999,1,0,0
13.35,0,0.067,6,108.83,2009,1,1,3
11.03,2,0.098,3,142.58,2009,1,1,3
9.19,1,0.133,8,119.26,1998,2,2,1
11.49,0,0.119,6,141.28,2009,1,1,3
11.75,0,0.122,4,99.16,1998,2,2,1
13.17,2,0.034,6,122.91,2009,1,1,3
12.84,0,0.109,10,175.87,1987,0,1,2
11.22,1,0.067,9,125.23,2009,1,1,3
17.35,2,0.047,14,137.15,1999,1,0,0
12.86,1,0.076,8,154.49,2009,1,1,3
13.17,2,0.035,5,160.78,2009,1,1,3
14.83,0,0.147,0,183.62,1987,0,1,2
12.31,0,0.066,6,119.26,2009,1,1,3
11.32,0,0.071,6,149.64,2009,1,1,3
10.59,0,0.126,3,165.05,2009,1,1,3
10.4,2,0.029,0,123.1,1987,0,1,2
13.22,0,0.143,6,176.83,1998,2,2,1
12.98,1,0.138,9,146.5,2009,1,1,3
13.91,2,0.103,14,151.64,2009,1,1,3
11.52,0,0.015,6,141.18,2009,1,1,3
7.99,0,0.033,6,86.79,1987,0,1,2
10.3,2,0.089,15,118.94,1987,0,1,2
16.98,2,0.015,15,188.74,1999,1,0,0
15.46,2,0.004,6,150.48,1987,0,1,2
13.37,3,0.144,6,173.1,1987,0,1,2
10.85,0,0.01,14,144.61,2009,1,1,3
14.11,0,0.078,0,131.65,2009,1,1,3
12.38,0,0.028,10,180.73,1987,0,1,2
11.55,2,0.053,15,153.55,2009,1,1,3
12.14,0,0.048,3,168.28,2009,1,1,3
11.95,0,0.022,6,226.26,1987,0,1,2
13.81,0,0.011,5,173.28,1999,1,0,0
11.88,0,0.188,13,160.57,2009,1,1,3
12.22,0,0.074,0,135.02,2009,1,1,3
13.08,0,0.079,4,168.87,2009,1,1,3
14.52,1,0.046,11,186.63,1987,0,1,2
15.31,1,0.063,9,144.37,2009,1,1,3
14.1,2,0.006,13,210.11,1999,1,0,0
14.39,0,0.021,0,114.68,2009,1,1,3
12.06,1,0.043,9,123.58,2009,1,1,3
9.82,2,0.031,0,145.64,2009,1,1,3
12.05,0,0.027,0,145.13,2009,1,1,3
13.02,0,0.12,6,158.7,2009,1,1,3
10.54,2,0.049,14,151.98,2009,1,1,3
15.03,2,0.128,3,164.72,1999,1,0,0
12.04,1,0.086,9,162.26,1998,2,2,1
12.22,2,0.014,10,81.67,1998,2,2,1
15.75,2,0.076,4,144.77,1987,0,1,2
13.07,0,0.037,10,143.79,2009,1,1,3
9.32,0,0.042,6,127.59,1987,0,1,2
12.29,1,0.123,9,159.9,2009,1,1,3
12.11,1,0.033,8,175.29,2009,1,1,3
11.61,1,0.049,8,200.87,1999,1,0,0
7.21,1,0.035,9,147.23,1998,2,2,1
11.6,0,0.028,6,190.11,1987,0,1,2
12.4,2,0.065,6,94.99,1987,0,1,2
13.88,0,0.074,6,145.68,2009,1,1,3
15.95,0,0.069,6,156.41,1999,1,0,0
17.36,0,0.081,4,153.55,1987,0,1,2
11.05,0,0.013,4,114.41,1987,0,1,2
14.16,0,0.063,13,129.12,2009,1,1,3
11.89,0,0.089,5,161.22,2009,1,1,3
14.83,0,0.157,13,189.19,1987,0,1,2
10.9,1,0.013,8,153.32,2009,1,1,3
12.54,0,0.066,6,124.0,2009,1,1,3
14.88,0,0.038,3,96.49,2009,1,1,3
12.41,0,0.138,14,120.58,2009,1,1,3
12.81,0,0.025,13,143.16,2009,1,1,3
12.68,0,0.03,13,133.19,2009,1,1,3
12.01,2,0.105,14,146.0,2009,1,1,3
15.02,0,0.044,13,193.24,1987,0,1,2
9.81,0,0.039,5,141.69,2009,1,1,3
12.55,2,0.175,4,170.58,2009,1,1,3
14.24,0,0.133,1,135.42,1998,2,2,1
14.09,0,0.128,13,178.38,1999,1,0,0
13.19,0,0.007,4,153.58,2009,1,1,3
16.02,0,0.132,0,187.35,1999,1,0,0
12.28,2,0.031,5,144.26,2009,1,1,3
12.84,0,0.047,13,147.58,2009,1,1,3
14.24,0,0.063,10,159.5,1987,0,1,2
